Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MNW16014,209,calf,F,Ca6,Ca2,RC,33.73,64.2,76.03,70.115,1,0.18167,20.71647,191.39606,1.881780552
MNW16014,209,calf,F,Ca6,Ca2,RC,33.73,64.2,76.03,70.115,2,0.14788,15.49093,204.55433,1.145399364
MNW16014,209,calf,F,Ca6,Ca2,RC,33.73,64.2,76.03,70.115,3,0.1348,7.92884,84.95326,0.534403816
MNW16014,209,calf,F,Ca6,Ca2,RC,33.73,64.2,76.03,70.115,4,0.15403,21.06308,241.25248,1.622173106
MNW16014,209,calf,F,Ca6,Ca2,RC,33.73,64.2,76.03,70.115,5,0.12255,25.18083,338.01287,1.542955358
MSW16023,185,calf,F,T8,T,RC,38.07,23.08,20.99,22.035,1,0.09724,7.30163,128.13772,0.355005251
MSW16023,185,calf,F,T8,T,RC,38.07,23.08,20.99,22.035,2,0.08576,4.66663,67.80922,0.200105094
MSW16023,185,calf,F,T8,T,RC,38.07,23.08,20.99,22.035,3,0.07059,10.65774,292.29389,0.376164933
MSW16023,185,calf,F,T8,T,RC,38.07,23.08,20.99,22.035,4,0.05829,4.35625,128.49918,0.126962906
MSW16023,185,calf,F,L1,L,RC,32.98,48.45,49.21,48.83,1,0.07151,5.25487,120.23622,0.187887877
MSW16023,185,calf,F,L1,L,RC,32.98,48.45,49.21,48.83,2,0.06189,4.30086,137.28369,0.133090113
MSW16023,185,calf,F,L1,L,RC,32.98,48.45,49.21,48.83,3,0.15227,5.61631,54.46014,0.427597762
MSW16023,185,calf,F,L1,L,RC,32.98,48.45,49.21,48.83,4,0.0861,7.55277,193.0513,0.325146749
MSW16023,185,calf,F,L1,L,RC,32.98,48.45,49.21,48.83,5,0.06681,7.88856,200.96428,0.263517347
MSW16023,185,calf,F,Ca2,Ca1,RC,23.5,67.9,70.35,69.125,1,0.07482,13.6638,325.92651,0.511162758
MSW16023,185,calf,F,Ca2,Ca1,RC,23.5,67.9,70.35,69.125,2,0.06533,15.63257,437.97961,0.510637899
MSW16023,185,calf,F,Ca2,Ca1,RC,23.5,67.9,70.35,69.125,3,0.06353,19.27008,625.88041,0.612114091
